Student No.,Class,Quiz 1,Test 1,Quiz 2,Test 2,Project,Final ,Extra credit
Maximum score,,30,60,25,50,100,100,100
Test weight,,0.08,0.17,0.08,0.17,0.25,0.25,
1,1,20,45,11.5,36,75,54,90
2,1,27,51,13.5,44,80,73,0
3,1,24,59,14.5,43,92,90,80
4,1,28,57,16.5,55,96,98,96
5,1,27,60,15,43,90,83,0
6,1,27,67,23.5,53,97,98,0
7,1,32,46,20,34,92,95,90
8,1,34,64,,42,89,71,0
9,1,24,44,13,29,92,59,88
10,1,28,42,16,40,88,44,0
11,1,22,48,9,40,80,79,0
12,1,15,51,21,48,90,56,0
13,1,26,47,14.5,41,75,70,0
14,1,26,49,11,30,90,79,88
15,1,24,58,16.5,40,92,82,0
16,1,34,65,13.5,49,90,90,0
17,1,28,60,22.5,45,93,100,0
18,1,19,57,16,39,90,74,0
19,1,30,57,17.5,50,96,99,92
20,1,29,54,16,35,90,76,92
21,1,27,67,17.5,52,90,88,0
22,1,29,66,23,51,95,89,0
23,1,24,56,18,30,100,94,97
24,1,30,63,15.5,47,85,92,90
25,1,28,63,20.5,49,85,98,0
26,1,32,59,19,48,92,86,0
27,1,34,67,18.5,53,96,100,97
28,1,31,69,14,33,88,93,0
29,1,25,65,15.5,48,91,94,0
30,1,23,35,14.5,29,70,67,0
31,1,26,67,18.5,42,88,94,0
32,2,12,36,10.5,29,50,38,0
33,2,29,44,15,42,70,55,0
34,2,27,57,14.5,46,83,87,90
35,2,27,59,24.5,51,88,87,0
36,2,34,63,24.5,53,95,99,0
37,2,29,64,21,46,94,93,0
38,2,19,38,10,,75,34,0
39,2,29,64,16,48,91,91,88
40,2,27,57,13.5,41,90,95,85
41,2,23,67,14.5,42,90,94,0
42,2,29,58,20.5,48,94,86,92
43,2,29,63,20.5,54,99,99,0
44,2,32,61,20.5,53,88,97,0
45,2,28,57,19,48,98,91,93
46,2,31,63,23,48,85,91,88
47,2,34,67,19.5,47,95,97,90
48,2,29,63,22,35,88,69,0
49,2,28,51,17.5,36,90,75,0
50,2,26,49,19.5,39,85,82,0
51,2,26,45,16,33,88,49,93
52,2,30,46,22,42,85,90,0
53,2,34,65,23,54,95,99,91
54,2,32,66,23,49,95,100,90
55,2,27,56,25,52,91,97,0
56,2,34,59,9,36,70,74,0
57,2,28,60,19,49,93,100,0
58,2,23,60,22.5,46,80,84,0
59,2,32,61,16,37,88,95,0
60,2,33,64,19,42,92,91,0
61,2,31,63,19,41,88,82,0
62,2,30,65,20,55,97,100,88
63,3,28,60,14.5,43,90,85,88
64,3,30,61,19,50,90,79,0
65,3,31,66,18.5,53,91,95,0
66,3,28,57,15,44,88,80,0
67,3,26,52,22.5,45,93,76,0
68,3,24,55,14.5,38,93,78,0
69,3,30,60,23.5,52,93,99,0
70,3,26,29,19.5,38,88,78,0
71,3,30,58,16,49,94,88,85
72,3,32,70,24.5,55,100,95,0
73,3,30,53,20.5,32,91,59,93
74,3,28,50,15.5,33,90,85,85
75,3,26,58,17,48,90,85,0
76,3,34,68,23,52,92,99,0
77,3,29,57,21,43,88,80,0
78,3,32,58,15.5,45,91,88,0
79,3,24,57,21.5,46,93,97,85
80,3,27,41,17.5,45,88,62,0
81,3,32,64,20.5,54,90,97,0
82,3,9,41,6.5,,,,0
83,3,26,41,17.5,38,91,66,0
84,3,26,51,11,37,90,54,0
85,3,29,52,22.5,47,90,93,0
86,3,28,53,19.5,42,90,74,0
87,3,24,66,23,50,88,90,0
88,3,24,56,21.5,36,85,63,0
89,3,25,66,22,55,95,95,0
90,3,33,57,22.5,50,91,100,0
91,3,34,67,24.5,55,95,91,0
92,3,27,62,18,50,90,85,0
93,4,24,59,17.5,35,88,82,0
94,4,20,50,9,42,85,46,0
95,4,26,67,21.5,43,93,94,0
96,4,22,58,20,50,90,79,0
97,4,28,70,23,54,96,99,0
98,4,25,41,8.5,33,80,51,0
99,4,25,56,14,46,80,84,0
100,4,31,64,19,53,90,96,0
101,4,33,63,21,49,90,97,0
102,4,31,53,13.5,37,85,65,0
103,4,27,57,21,49,85,79,0
104,4,26,54,17,41,93,96,0
105,4,28,56,12,34,90,74,0
106,4,28,61,14.5,35,70,56,0
107,4,25,50,12.5,42,90,78,85
108,4,22,53,17.5,43,90,71,88
109,4,24,51,5.5,21,80,41,0
110,4,30,58,22,38,90,95,0
111,4,21,59,13,44,83,81,0
112,4,30,61,21,50,91,99,0
113,4,19,50,16,36,92,52,0
114,4,33,58,19.5,42,88,87,0
115,4,27,64,22.5,35,93,70,0
116,4,29,51,22.5,50,90,77,0
117,4,29,62,22,40,90,94,0
118,4,27,54,17.5,48,90,78,0
119,4,29,56,19,33,82,91,90
120,4,30,46,21.5,54,88,85,0
121,4,27,65,22.5,54,97,99,0
122,4,29,53,14,46,80,78,0
