1995,Allison,ET
1996,Bertha,H1
1996,Arthur,TS
1996,Josephine,ET
1997,unnamed,TS
1997,Danny,TS
1998,Bonnie,H1
1998,Earl,ET
1999,Floyd,H2
1999,Dennis,H2
1999,Irene,H2
2000,Helene,TS
2001,Allison,TD
2002,Gustav,TS
2002,Arthur,TD
2002,Kyle,TS
2003,Isabel,H2
2004,Bonnie,TD
2004,Alex,H2
2004,Charley,ET
2004,Ivan,ET
2005,Ophelia,H1
2006,Alberto,ET
2007,Gabrielle,TS
2007,Barry,ET
2008,Cristobal,TS
2009,n/a,
2010,n/a,
2011,Irene,H1
2012,Beryl,TS
2013,Andrea,ET
2014,Arthur,H2
2015,Claudette,TD
2015,Ana,TD
